Publisher	Dataset Name	Link	Facet 1	Facet 2
Department for Transport	GB Road Traffic counts	http://www.data.gov.uk/dataset/gb-road-traffic-counts	Transport and Infrastructure	Performance and Delivery
Department for Transport	Road Traffic and Congestion in Great Britain	http://www.data.gov.uk/dataset/road_traffic_and_congestion_in_great_britain	Transport and Infrastructure	Performance and Delivery
Department for Transport	Live Traffic Information from the Highways Agency Road Network	http://www.data.gov.uk/dataset/live-traffic-information-from-the-highways-agency-road-network	Transport and Infrastructure	Performance and Delivery
Department for Transport	National Passenger Survey	http://www.data.gov.uk/dataset/national_passenger_survey	Transport and Infrastructure	Performance and Delivery
Passenger Focus	Bus Passenger Satisfaction Survey 	http://www.data.gov.uk/dataset/bus_passenger_satisfaction_survey	Transport and Infrastructure	Performance and Delivery
Department for Transport	Channel Tunnel Rail Statistics	http://data.gov.uk/dataset/rsa-channel-tunnel-rail-statistics	Transport and Infrastructure	Performance and Delivery
Department for Transport	Port Traffic Data	http://www.data.gov.uk/dataset/port-traffic-data	Transport and Infrastructure	Performance and Delivery
Vehicle Certification Agency	Passenger car and van fuel consumption data	http://www.data.gov.uk/dataset/passenger-car-and-van-fuel-consumption-data	Transport and Infrastructure	Performance and Delivery
Office of Communications	Mobile Phone Coverage 	http://data.gov.uk/dataset/mobile-phone-coverage	Transport and Infrastructure	Performance and Delivery
Office of Communications	Broadband Coverage	http://data.gov.uk/dataset/broadband-coverage	Transport and Infrastructure	Performance and Delivery
Office of Communications	Postal Service Customer Satisfaction 	http://data.gov.uk/dataset/post-residential-tracking-survey http://data.gov.uk/dataset/post-business-tracking-survey	Transport and Infrastructure	Performance and Delivery
Met Office	3 hourly weather forecast and observational data - UK locations	http://data.gov.uk/dataset/metoffice_uklocs3hr_fc	Energy and the Environment	Performance and Delivery
Met Office	Historical monthly data for meteorological stations	http://data.gov.uk/dataset/historic-monthly-meteorological-station-data	Energy and the Environment	Performance and Delivery
HMG	Real time energy usage (all depts.)	http://data.gov.uk/data/search?q=Real+time+energy+use	Energy and the Environment	Performance and Delivery
Department for Communities and Local Government	Average Energy Efficiency (SAP rating) of new homes, England and Wales 	http://data.gov.uk/dataset/average_energy_efficiency_sap_rating_of_new_homes_england_and_wales	Energy and the Environment	Performance and Delivery
Department for Communities and Local Government	Planning Portal 	http://data.gov.uk/dataset/planning-portal	Energy and the Environment	Performance and Delivery
Department for Communities and Local Government	Domestic Energy Performance Certificate Register  	http://data.gov.uk/dataset/domestic-energy-performance-certificate-register	Energy and the Environment	Performance and Delivery
Department for Communities and Local Government	Non-Domestice Energy Performance Certificate Register  	http://data.gov.uk/dataset/non-domestic-energy-performance-certificate-register	Energy and the Environment	Performance and Delivery
Department for Environment, Food and Rural Affairs	Bathing water archive	http://data.gov.uk/dataset/bathing-water	Energy and the Environment	Performance and Delivery
Department for Environment, Food and Rural Affairs	Monitoring Determinants	http://data.gov.uk/dataset/monitoring-determinants † 	Energy and the Environment	Performance and Delivery
Department for Environment, Food and Rural Affairs	Regulated Pollutants†††	http://data.gov.uk/dataset/regulated-pollutants †	Energy and the Environment	Performance and Delivery
Department for Environment, Food and Rural Affairs	Cereal Stocks, England and Wales	http://www.data.gov.uk/dataset/cereal_stocks_england_and_wales	Energy and the Environment	Performance and Delivery
NHS England	GP National Patient Survey	http://data.gov.uk/dataset/gp_national_patient_survey_	Health and Social Care	Performance and Delivery
Department of Health	 National Patient Choice Survey (DH) 	http://data.gov.uk/dataset/national_patient_choice_survey	Health and Social Care	Performance and Delivery
Department of Health	National Patient Survey (DH)	http://data.gov.uk/dataset/national_patient_survey	Health and Social Care	Performance and Delivery
NHS England	Aggregated clinical audit information (various publishers, commissioned by HQIP)	http://data.gov.uk/data/search?q=clinical+audit	Health and Social Care	Performance and Delivery
Department of Health	National NHS Staff Survey (DH)	http://data.gov.uk/dataset/national_nhs_staff_survey	Health and Social Care	Performance and Delivery
NHS England	A&E weekly data	http://www.data.gov.uk/dataset/ae_weekly_data_	Health and Social Care	Performance and Delivery
NHS England	Friends and Family Test	http://www.data.gov.uk/dataset/friends_and_family_test	Health and Social Care	Performance and Delivery
NHS England	Ambulance Quality Indicators System Indicators	http://www.data.gov.uk/dataset/ambulance_quality_indicators_system_indicators__	Health and Social Care	Performance and Delivery
Department of Health	Cancelled Operation, England	http://www.data.gov.uk/dataset/cancelled_operation_england	Health and Social Care	Performance and Delivery
NHS England	Critical care bed capacity and cancelled operations: monthly situation reports	http://www.data.gov.uk/dataset/critical_care_bed_capacity_and_cancelled_operations-monthly_situation_reports_	Health and Social Care	Performance and Delivery
NHS England	Dementia Assessment and Referral	http://www.data.gov.uk/dataset/dementia_assessment_and_referral	Health and Social Care	Performance and Delivery
NHS England	Hospital Activity Data	http://www.data.gov.uk/dataset/hospital_activity_data__	Health and Social Care	Performance and Delivery
Department of Health	Daily Situation Reports	http://www.data.gov.uk/dataset/daily_situation_reports	Health and Social Care	Performance and Delivery
Department for Education	National Curriculum Assessments at Key Stage 1 in England (DfE)	http://data.gov.uk/dataset/national_curriculum_assessments_at_key_stage_1_in_england	Education	Performance and Delivery
Department for Education	National Curriculum Assessments at Key Stage 2 in England (DfE)	http://data.gov.uk/dataset/national_curriculum_assessments_at_key_stage_2_in_england	Education	Performance and Delivery
Department for Education	National Curriculum Assessments at Key Stage 3 in England (DfE)	http://data.gov.uk/dataset/national_curriculum_assessments_at_key_stage_3_in_england	Education	Performance and Delivery
